"nazwa","primary_text","headline","description","cta","url","image_1080x1080","image_1080x1350","image_1080x1920"
"cena-40","Godzina korepetycji w Jabłonnie kosztuje od 40 zł. Zaczynamy od bezpłatnej diagnozy: 45 minut, po których wiadomo, gdzie dokładnie jest luka i co robimy dalej. ul. Zegrzyńska 22, Jabłonna. Telefon 605 947 803.","Zajęcia od 40 zł/h – Jabłonna","Bezpłatna diagnoza","Dowiedz się więcej","https://burza-mozgow-korepetycje.pl/jablonna","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/cena-40-1080x1080.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/cena-40-1080x1350.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/cena-40-1080x1920.png"
"nowa-matematyka","„Mamo, my to inaczej robimy w szkole.” Nie musisz uczyć się matematyki od nowa — robimy to z Twoim dzieckiem, od 40 zł za godzinę. Diagnoza trwa 45 minut i kończy się planem na kartce. Jabłonna, 5 minut od Legionowa, także online.","Korepetycje Jabłonna – od 40 zł/h","Diagnoza za 0 zł","Dowiedz się więcej","https://burza-mozgow-korepetycje.pl/jablonna","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/nowa-matematyka-1080x1080.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/nowa-matematyka-1080x1350.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/nowa-matematyka-1080x1920.png"
"opinia-87","„Bałam się, że córka nie zda matematyki.” Po 3 miesiącach miała 87% na próbnej. Mamy 100+ opinii z oceną 5,0, średni wynik uczniów to 80%, a z matematyki dajemy gwarancję 70%+. Kursy startują 22 września w Jabłonnie.","Kurs maturalny/E8 – start 22.09","Zapisy do 15 września","Zapisz się","https://burza-mozgow-korepetycje.pl/jablonna/kursy-maturalne-e8","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/opinia-87-1080x1080.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/opinia-87-1080x1350.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/opinia-87-1080x1920.png"
"wynik-91","91% na egzaminie ósmoklasisty. Nie talent — regularna praca od września. Kurs to jedno spotkanie w tygodniu po 90 minut, próbne egzaminy i plan na cały rok. Z matematyki gwarantujemy 70%+. Start 22.09, ul. Zegrzyńska 22, Jabłonna.","Kurs do egzaminu ósmoklasisty","Jabłonna · od 40 zł/h","Zapisz się","https://burza-mozgow-korepetycje.pl/jablonna/kursy-maturalne-e8#e8","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/wynik-91-1080x1080.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/wynik-91-1080x1350.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/wynik-91-1080x1920.png"
"faq-podrecznik","Mamy w szkole inny podręcznik. Czy to problem? Nie — uczymy do egzaminu, nie z podręcznika. Przed sprawdzianem robimy powtórkę z materiału, który dziecko ma aktualnie w szkole. Zajęcia od 40 zł za godzinę, Jabłonna lub online. Diagnoza bezpłatna.","Korepetycje Jabłonna / Legionowo","Od 40 zł za godzinę","Dowiedz się więcej","https://burza-mozgow-korepetycje.pl/jablonna#faq","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/faq-podrecznik-1080x1080.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/faq-podrecznik-1080x1350.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/faq-podrecznik-1080x1920.png"
"zegrzynska-22","Od września Burza Mózgów jest 5 minut od Legionowa. ul. Zegrzyńska 22 w Jabłonnie: korepetycje ze wszystkich przedmiotów, kursy do matury i E8, angielski dla dzieci i dorosłych. Od 40 zł za godzinę, także online. Telefon 605 947 803.","Jabłonna, Zegrzyńska 22 – zapisy","Od 40 zł/h · online też","Dowiedz się więcej","https://burza-mozgow-korepetycje.pl/jablonna#dojazd","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/zegrzynska-22-1080x1080.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/zegrzynska-22-1080x1350.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/zegrzynska-22-1080x1920.png"
"angielski-jablonna","Angielski dla dziecka albo dla siebie — 5 minut od Legionowa. Dzieci od 6 lat mówią od pierwszej lekcji, młodzież przygotowuje się do egzaminu ósmoklasisty i matury, dorośli uczą się wieczorami w tygodniu. Poziom sprawdzamy na bezpłatnej diagnozie. Od 40 zł/h.","Angielski Jabłonna – od 40 zł/h","Dzieci · młodzież · dorośli","Dowiedz się więcej","https://burza-mozgow-korepetycje.pl/jablonna/angielski","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/angielski-jablonna-1080x1080.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/angielski-jablonna-1080x1350.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/angielski-jablonna-1080x1920.png"
"angielski-jablonna-light","Angielski dla dziecka albo dla siebie — 5 minut od Legionowa. Dzieci od 6 lat mówią od pierwszej lekcji, młodzież przygotowuje się do egzaminu ósmoklasisty i matury, dorośli uczą się wieczorami w tygodniu. Poziom sprawdzamy na bezpłatnej diagnozie. Od 40 zł/h.","Angielski Jabłonna – od 40 zł/h","Dzieci · młodzież · dorośli","Dowiedz się więcej","https://burza-mozgow-korepetycje.pl/jablonna/angielski","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/angielski-jablonna-light-1080x1080.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/angielski-jablonna-light-1080x1350.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/angielski-jablonna-light-1080x1920.png"
"zapisy-do-15-09","Kursy egzaminacyjne w Jabłonnie ruszają 22 września, zapisy zamykamy 15.09. Zamykamy je, bo kurs prowadzi ten sam nauczyciel przez cały rok i skład ustalamy na start. W kursie: 90 minut w tygodniu, próbne egzaminy, gwarancja 70%+ z matematyki. Diagnoza bezpłatna.","Zapisy do 15 września","Start kursów 22.09","Zapisz się","https://burza-mozgow-korepetycje.pl/jablonna/kursy-maturalne-e8","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/zapisy-do-15-09-1080x1080.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/zapisy-do-15-09-1080x1350.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/zapisy-do-15-09-1080x1920.png"
"przed-po","„Bałam się, że córka nie zda matematyki. Po 3 miesiącach miała 87% na próbnej.” Na kursie co tydzień to samo: powtórka, nowy dział, zadania z arkuszy, próbny egzamin. Gwarancja 70%+ z matematyki. Start 22 września w Jabłonnie.","Kurs maturalny/E8 – Jabłonna","Start 22.09 · od 40 zł/h","Zapisz się","https://burza-mozgow-korepetycje.pl/jablonna/kursy-maturalne-e8","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/przed-po-1080x1080.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/przed-po-1080x1350.png","https://burza-mozgow-korepetycje.pl/upload/koncepcje/png/przed-po-1080x1920.png"
